ORIG_FID;year;builtup_area;builtup_px;cloud_area;cloud_px;crops_area;crops_px;forest_area;forest_px;grass_area;grass_px;noveg_area;noveg_px;water_area;water_px
2501;2012;0;0;0.003725927359150;51302.000000000000000;0;0;0;0;0;0;0;0;0;0
2502;2012;0;0;0.003709440954900;51075.000000000000000;0;0;0;0;0;0;0;0;0;0
2503;2012;0;0;0.003725927359150;51302.000000000000000;0;0;0;0;0;0;0;0;0;0
2504;2012;0;0;0.003693099805320;50850.000000000000000;0;0;0;0;0;0;0;0;0;0
2505;2012;0;0;0.003709440954900;51075.000000000000000;0;0;0;0;0;0;0;0;0;0
2507;2012;0;0;0.003709513582240;51076.000000000000000;0;0;0;0;0;0;0;0;0;0
2629;2012;0;0;0.003742341136060;51528.000000000000000;0;0;0;0;0;0;0;0;0;0
2630;2012;0;0;0.003709440954900;51075.000000000000000;0;0;0;0;0;0;0;0;0;0
2631;2012;0;0;0.003709440954900;51075.000000000000000;0;0;0;0;0;0;0;0;0;0
2632;2012;0;0;0.003709440954900;51075.000000000000000;0;0;0;0;0;0;0;0;0;0
2633;2012;0;0;0.003709513582240;51076.000000000000000;0;0;0;0;0;0;0;0;0;0
2634;2012;0;0;0.003725927359150;51302.000000000000000;0;0;0;0;0;0;0;0;0;0
2635;2012;0;0;0.003725927359150;51302.000000000000000;0;0;0;0;0;0;0;0;0;0
2699;2012;0;0;0.000494301617995;6806.000000000000000;0;0;0;0;0;0;0;0;0;0
2703;2012;0;0;0.003709513582240;51076.000000000000000;0;0;0;0;0;0;0;0;0;0
2705;2012;0;0;0.003693099805320;50850.000000000000000;0;0;0;0;0;0;0;0;0;0
2708;2012;0;0;0.003676758655740;50625.000000000000000;0;0;0;0;0;0;0;0;0;0
5607;2012;0.000095359686222;1313.000000000000000;0.001676020928370;23077.000000000000000;0.000137774047801;1897.000000000000000;0.001211133379620;16676.000000000000000;0.000398433540452;5486.000000000000000;0.000094197648918;1297.000000000000000;0.000113008127770;1556.000000000000000
5608;2012;0.000078582772652;1082.000000000000000;0;0;0.000140969650386;1941.000000000000000;0.002249631592330;30975.000000000000000;0.000313532189962;4317.000000000000000;0.000474692238497;6536.000000000000000;0.000468373660659;6449.000000000000000
