GID_2;year;builtup_area;builtup_px;cloud_area;cloud_px;crops_area;crops_px;forest_area;forest_px;grass_area;grass_px;noveg_area;noveg_px;water_area;water_px
GIN.1.1_1;2012;0.019740689712600;271808.000000000000000;0.012849590620600;176925.000000000000000;0.024698013476800;340065.000000000000000;0.231715104358000;3190467.000000000000000;0.057438559758800;790867.000000000000000;0.034998675272100;481894.000000000000000;0.048999626978500;674672.000000000000000
GIN.1.2_1;2012;0.034749926661800;478469.000000000000000;0.010236096097600;140940.000000000000000;0.056573713495700;778959.000000000000000;0.507486165868000;6987537.000000000000000;0.121282704899000;1669932.000000000000000;0.082893350029600;1141352.000000000000000;0.082841639369600;1140640.000000000000000
GIN.1.3_1;2012;0.003493883035100;48107.000000000000000;0;0;0.008158518653510;112334.000000000000000;0.064237712649200;884484.000000000000000;0.042166121360400;580582.000000000000000;0.006821522108460;93925.000000000000000;0.005793191722150;79766.000000000000000
GIN.1.4_1;2012;0.045795599623300;630556.000000000000000;0.008828215277010;121555.000000000000000;0.059414458938800;818073.000000000000000;0.473595565792000;6520900.000000000000000;0.130681625746000;1799345.000000000000000;0.130209548092000;1792845.000000000000000;0.075904349294800;1045121.000000000000000
GIN.1.5_1;2012;0.020815574218400;286608.000000000000000;0.002329158520290;32070.000000000000000;0.038539838700000;530652.000000000000000;0.211636697554000;2914009.000000000000000;0.069572771164400;957942.000000000000000;0.064112648384400;882762.000000000000000;0.033850872925500;466090.000000000000000
GIN.2.1_1;2012;0.009480699222950;130539.000000000000000;0.002130377514050;29333.000000000000000;0.002811040864600;38705.000000000000000;0.005335639533880;73466.000000000000000;0.002502519960510;34457.000000000000000;0.003231770995820;44498.000000000000000;0.009110808223770;125446.000000000000000
GIN.3.1_1;2012;0.028063273507900;386401.000000000000000;0;0;0.048055616924000;661674.000000000000000;0.191763535589000;2640377.000000000000000;0.126280191577000;1738742.000000000000000;0.024399006753200;335948.000000000000000;0.013745521381600;189261.000000000000000
GIN.3.2_1;2012;0.054742342705300;753743.000000000000000;0.002090432481740;28783.000000000000000;0.105081362931000;1446857.000000000000000;0.479490798915000;6602071.000000000000000;0.214512304116000;2953603.000000000000000;0.062516081756700;860779.000000000000000;0.032687310448000;450069.000000000000000
GIN.3.3_1;2012;0.121116025173000;1667637.000000000000000;0.003333231377880;45895.000000000000000;0.125876383614000;1733182.000000000000000;0.451832568035000;6221247.000000000000000;0.203857584080000;2806899.000000000000000;0.098316272258900;1353709.000000000000000;0.056381323694600;776310.000000000000000
GIN.3.4_1;2012;0.085255553985700;1173877.000000000000000;0;0;0.094113764350600;1295845.000000000000000;0.166894412119000;2297956.000000000000000;0.099986337746100;1376704.000000000000000;0.039511011376400;544024.000000000000000;0.024098256973500;331807.000000000000000
GIN.4.1_1;2012;0.130245498621000;1793340.000000000000000;0.000098192152149;1352.000000000000000;0.137724080197000;1896312.000000000000000;0.643518101869000;8860550.000000000000000;0.237187210647000;3265812.000000000000000;0.192333006495000;2648218.000000000000000;0.086623199264600;1192708.000000000000000
GIN.4.2_1;2012;0.098036657032700;1349859.000000000000000;0;0;0.108018049079000;1487292.000000000000000;0.270399689329000;3723112.000000000000000;0.180313691527000;2482725.000000000000000;0.077779877502700;1070945.000000000000000;0.037573096290800;517341.000000000000000
GIN.4.3_1;2012;0.120950797994000;1665362.000000000000000;0;0;0.138509762669000;1907130.000000000000000;0.591478875814000;8144026.000000000000000;0.197539442006000;2719905.000000000000000;0.163845371489000;2255974.000000000000000;0.093162055799000;1282741.000000000000000
GIN.4.4_1;2012;0.112392611135000;1547525.000000000000000;0.008662261824600;119270.000000000000000;0.119923920154000;1651223.000000000000000;0.238012111878000;3277170.000000000000000;0.224695963280000;3093821.000000000000000;0.208409574707000;2869575.000000000000000;0.044878824818100;617933.000000000000000
