ORIG_FID;year;builtup_area;builtup_px;cloud_area;cloud_px;crops_area;crops_px;forest_area;forest_px;grass_area;grass_px;noveg_area;noveg_px;water_area;water_px
1032;2013;0;0;0.001225586218580;16875.000000000000000;0;0;0;0;0;0;0;0;0;0
1033;2013;0;0;0.001148964383880;15820.000000000000000;0;0;0;0;0;0;0;0;0;0
1034;2013;0;0;0.002647266232130;36450.000000000000000;0;0;0;0;0;0;0;0;0;0
1035;2013;0;0;0.003315582936330;45652.000000000000000;0;0;0;0;0;0;0;0;0;0
1036;2013;0;0;0.002576962975270;35482.000000000000000;0;0;0;0;0;0;0;0;0;0
1037;2013;0;0;0.002002480783330;27572.000000000000000;0;0;0;0;0;0;0;0;0;0
1038;2013;0;0;0.003709513582240;51076.000000000000000;0;0;0;0;0;0;0;0;0;0
1040;2013;0;0;0.001536068060620;21150.000000000000000;0;0;0;0;0;0;0;0;0;0
1041;2013;0;0;0.000882422077378;12150.000000000000000;0;0;0;0;0;0;0;0;0;0
1043;2013;0;0;0.003693099805320;50850.000000000000000;0;0;0;0;0;0;0;0;0;0
1044;2013;0;0;0.000886343953278;12204.000000000000000;0;0;0;0;0;0;0;0;0;0
1045;2013;0;0;0.003709513582240;51076.000000000000000;0;0;0;0;0;0;0;0;0;0
1046;2013;0;0;0.001993620248890;27450.000000000000000;0;0;0;0;0;0;0;0;0;0
1047;2013;0;0;0.001601432658950;22050.000000000000000;0;0;0;0;0;0;0;0;0;0
1050;2013;0;0;0.003693099805320;50850.000000000000000;0;0;0;0;0;0;0;0;0;0
1070;2013;0;0;0.003693099805320;50850.000000000000000;0;0;0;0;0;0;0;0;0;0
1071;2013;0;0;0.003709513582240;51076.000000000000000;0;0;0;0;0;0;0;0;0;0
1072;2013;0;0;0.000459585753551;6328.000000000000000;0;0;0;0;0;0;0;0;0;0
1073;2013;0;0;0.003693099805320;50850.000000000000000;0;0;0;0;0;0;0;0;0;0
1077;2013;0;0;0.003709513582240;51076.000000000000000;0;0;0;0;0;0;0;0;0;0
1078;2013;0;0;0.003693099805320;50850.000000000000000;0;0;0;0;0;0;0;0;0;0
1079;2013;0;0;0.003693099805320;50850.000000000000000;0;0;0;0;0;0;0;0;0;0
1080;2013;0;0;0.000261458393297;3600.000000000000000;0;0;0;0;0;0;0;0;0;0
1111;2013;0.000016268522250;224.000000000000000;0.003480955370090;47929.000000000000000;0.000051202268687;705.000000000000000;0.000009368925760;129.000000000000000;0.000150048066820;2066.000000000000000;0.000034134845792;470.000000000000000;0.000000363136657;5.000000000000000
1112;2013;0.000007262733147;100.000000000000000;0.003649232897110;50246.000000000000000;0.000022151336099;305.000000000000000;0.000004793403877;66.000000000000000;0.000034207473123;471.000000000000000;0.000007843751799;108.000000000000000;0.000000290509326;4.000000000000000
1113;2013;0;0;0.003742341136060;51528.000000000000000;0;0;0;0;0;0;0;0;0;0
1114;2013;0;0;0.003742341136060;51528.000000000000000;0;0;0;0;0;0;0;0;0;0
1115;2013;0;0;0.003725782104490;51300.000000000000000;0;0;0;0;0;0;0;0;0;0
1116;2013;0.000154115197382;2122.000000000000000;0.002136986601220;29424.000000000000000;0.000386377403428;5320.000000000000000;0.000080906847259;1114.000000000000000;0.000818219516357;11266.000000000000000;0.000163702005137;2254.000000000000000;0.000002033565281;28.000000000000000
1117;2013;0;0;0.003725782104490;51300.000000000000000;0;0;0;0;0;0;0;0;0;0
1118;2013;0;0;0.003725782104490;51300.000000000000000;0;0;0;0;0;0;0;0;0;0
1119;2013;0;0;0.003725782104490;51300.000000000000000;0;0;0;0;0;0;0;0;0;0
1120;2013;0;0;0.003742341136060;51528.000000000000000;0;0;0;0;0;0;0;0;0;0
1121;2013;0;0;0.003742341136060;51528.000000000000000;0;0;0;0;0;0;0;0;0;0
1122;2013;0.000010530963063;145.000000000000000;0.003657585040230;50361.000000000000000;0.000011475118372;158.000000000000000;0.000004575521883;63.000000000000000;0.000021933454104;302.000000000000000;0.000003268229916;45.000000000000000;0.000000072627331;1.000000000000000
1123;2013;0;0;0.003725782104490;51300.000000000000000;0;0;0;0;0;0;0;0;0;0
1124;2013;0;0;0.003725782104490;51300.000000000000000;0;0;0;0;0;0;0;0;0;0
1129;2013;0;0;0.003742341136060;51528.000000000000000;0;0;0;0;0;0;0;0;0;0
1130;2013;0;0;0.003709440954900;51075.000000000000000;0;0;0;0;0;0;0;0;0;0
1131;2013;0;0;0.003742341136060;51528.000000000000000;0;0;0;0;0;0;0;0;0;0
1132;2013;0;0;0.003742341136060;51528.000000000000000;0;0;0;0;0;0;0;0;0;0
1133;2013;0;0;0.003742341136060;51528.000000000000000;0;0;0;0;0;0;0;0;0;0
1134;2013;0;0;0.003725782104490;51300.000000000000000;0;0;0;0;0;0;0;0;0;0
1135;2013;0;0;0.003709440954900;51075.000000000000000;0;0;0;0;0;0;0;0;0;0
1136;2013;0;0;0.003725782104490;51300.000000000000000;0;0;0;0;0;0;0;0;0;0
1137;2013;0;0;0.003758754912970;51754.000000000000000;0;0;0;0;0;0;0;0;0;0
1138;2013;0;0;0.003709440954900;51075.000000000000000;0;0;0;0;0;0;0;0;0;0
1139;2013;0;0;0.003725782104490;51300.000000000000000;0;0;0;0;0;0;0;0;0;0
1140;2013;0;0;0.003742341136060;51528.000000000000000;0;0;0;0;0;0;0;0;0;0
1141;2013;0;0;0.003742341136060;51528.000000000000000;0;0;0;0;0;0;0;0;0;0
1142;2013;0;0;0.003725782104490;51300.000000000000000;0;0;0;0;0;0;0;0;0;0
1143;2013;0;0;0.003725782104490;51300.000000000000000;0;0;0;0;0;0;0;0;0;0
1144;2013;0;0;0.003742341136060;51528.000000000000000;0;0;0;0;0;0;0;0;0;0
1145;2013;0;0;0.003742341136060;51528.000000000000000;0;0;0;0;0;0;0;0;0;0
1146;2013;0;0;0.003742341136060;51528.000000000000000;0;0;0;0;0;0;0;0;0;0
1147;2013;0;0;0.003709440954900;51075.000000000000000;0;0;0;0;0;0;0;0;0;0
1148;2013;0;0;0.003725782104490;51300.000000000000000;0;0;0;0;0;0;0;0;0;0
1149;2013;0;0;0.003709440954900;51075.000000000000000;0;0;0;0;0;0;0;0;0;0
1150;2013;0;0;0.003742341136060;51528.000000000000000;0;0;0;0;0;0;0;0;0;0
1151;2013;0;0;0.003725782104490;51300.000000000000000;0;0;0;0;0;0;0;0;0;0
1152;2013;0;0;0.003725782104490;51300.000000000000000;0;0;0;0;0;0;0;0;0;0
1153;2013;0;0;0.003725927359150;51302.000000000000000;0;0;0;0;0;0;0;0;0;0
1154;2013;0;0;0.003709440954900;51075.000000000000000;0;0;0;0;0;0;0;0;0;0
1155;2013;0;0;0.001601432658950;22050.000000000000000;0;0;0;0;0;0;0;0;0;0
1156;2013;0;0;0.000947786675702;13050.000000000000000;0;0;0;0;0;0;0;0;0;0
1157;2013;0;0;0.002728971980040;37575.000000000000000;0;0;0;0;0;0;0;0;0;0
1159;2013;0;0;0.003709440954900;51075.000000000000000;0;0;0;0;0;0;0;0;0;0
1160;2013;0;0;0.003742341136060;51528.000000000000000;0;0;0;0;0;0;0;0;0;0
1161;2013;0;0;0.003742341136060;51528.000000000000000;0;0;0;0;0;0;0;0;0;0
1162;2013;0;0;0.003725782104490;51300.000000000000000;0;0;0;0;0;0;0;0;0;0
1163;2013;0;0;0.003725782104490;51300.000000000000000;0;0;0;0;0;0;0;0;0;0
1164;2013;0;0;0.003725782104490;51300.000000000000000;0;0;0;0;0;0;0;0;0;0
1165;2013;0;0;0.003725782104490;51300.000000000000000;0;0;0;0;0;0;0;0;0;0
1166;2013;0;0;0.003742341136060;51528.000000000000000;0;0;0;0;0;0;0;0;0;0
1167;2013;0;0;0.003742341136060;51528.000000000000000;0;0;0;0;0;0;0;0;0;0
1168;2013;0;0;0.003742341136060;51528.000000000000000;0;0;0;0;0;0;0;0;0;0
1211;2013;0;0;0.002806755852050;38646.000000000000000;0;0;0;0;0;0;0;0;0;0
1212;2013;0;0;0.000919171507103;12656.000000000000000;0;0;0;0;0;0;0;0;0;0
1213;2013;0;0;0.003219206467470;44325.000000000000000;0;0;0;0;0;0;0;0;0;0
1214;2013;0;0;0.000294140692459;4050.000000000000000;0;0;0;0;0;0;0;0;0;0
1215;2013;0;0;0.001601432658950;22050.000000000000000;0;0;0;0;0;0;0;0;0;0
1218;2013;0;0;0.002051722114070;28250.000000000000000;0;0;0;0;0;0;0;0;0;0
1220;2013;0;0;0.001099723053140;15142.000000000000000;0;0;0;0;0;0;0;0;0;0
1352;2013;0;0;0.003709440954900;51075.000000000000000;0;0;0;0;0;0;0;0;0;0
1353;2013;0;0;0.003693099805320;50850.000000000000000;0;0;0;0;0;0;0;0;0;0
1354;2013;0;0;0.003709440954900;51075.000000000000000;0;0;0;0;0;0;0;0;0;0
1355;2013;0;0;0.003693099805320;50850.000000000000000;0;0;0;0;0;0;0;0;0;0
1356;2013;0;0;0.003709440954900;51075.000000000000000;0;0;0;0;0;0;0;0;0;0
1357;2013;0;0;0.003693099805320;50850.000000000000000;0;0;0;0;0;0;0;0;0;0
1358;2013;0;0;0.002708273190570;37290.000000000000000;0;0;0;0;0;0;0;0;0;0
1359;2013;0;0;0.003693099805320;50850.000000000000000;0;0;0;0;0;0;0;0;0;0
1392;2013;0;0;0.003627735207000;49950.000000000000000;0;0;0;0;0;0;0;0;0;0
1395;2013;0;0;0.003709513582240;51076.000000000000000;0;0;0;0;0;0;0;0;0;0
1396;2013;0;0;0.003725927359150;51302.000000000000000;0;0;0;0;0;0;0;0;0;0
1397;2013;0;0;0.002761654279200;38025.000000000000000;0;0;0;0;0;0;0;0;0;0
1398;2013;0.000024330156043;335.000000000000000;0.002680965313940;36914.000000000000000;0.000071901058157;990.000000000000000;0.000260441610657;3586.000000000000000;0.000434456696862;5982.000000000000000;0.000167260744379;2303.000000000000000;0.000070158002201;966.000000000000000
1399;2013;0;0;0.003709513582240;51076.000000000000000;0;0;0;0;0;0;0;0;0;0
1400;2013;0;0;0.003709513582240;51076.000000000000000;0;0;0;0;0;0;0;0;0;0
1401;2013;0;0;0.003709513582240;51076.000000000000000;0;0;0;0;0;0;0;0;0;0
1402;2013;0;0;0.003693099805320;50850.000000000000000;0;0;0;0;0;0;0;0;0;0
1403;2013;0;0;0.003693099805320;50850.000000000000000;0;0;0;0;0;0;0;0;0;0
1404;2013;0;0;0.003284571065800;45225.000000000000000;0;0;0;0;0;0;0;0;0;0
1413;2013;0.000000072627331;1.000000000000000;0.003723094893220;51263.000000000000000;0.000000145254663;2.000000000000000;0.000001452546629;20.000000000000000;0.000000726273315;10.000000000000000;0.000000290509326;4.000000000000000;0.000000145254663;2.000000000000000
1414;2013;0;0;0.003709440954900;51075.000000000000000;0;0;0;0;0;0;0;0;0;0
