ORIG_FID;year;builtup_area;builtup_px;cloud_area;cloud_px;crops_area;crops_px;forest_area;forest_px;grass_area;grass_px;noveg_area;noveg_px;water_area;water_px
9243;2010;0;0;0.003840823797540;52884.000000000000000;0;0;0;0;0;0;0;0;0;0
9244;2010;0;0;0.003840170151550;52875.000000000000000;0;0;0;0;0;0;0;0;0;0
9258;2010;0.000197110577614;2714.000000000000000;0.003212016361660;44226.000000000000000;0.000125500028783;1728.000000000000000;0.000026872112644;370.000000000000000;0.000181786210673;2503.000000000000000;0.000058537629166;806.000000000000000;0.000005664931855;78.000000000000000
9259;2010;0;0;0.003807487852390;52425.000000000000000;0;0;0;0;0;0;0;0;0;0
9261;2010;0;0;0.003807996243710;52432.000000000000000;0;0;0;0;0;0;0;0;0;0
9405;2010;0;0;0.003954558198620;54450.000000000000000;0;0;0;0;0;0;0;0;0;0
9507;2010;0;0;0.003857237574450;53110.000000000000000;0;0;0;0;0;0;0;0;0;0
9508;2010;0;0;0.003856511301130;53100.000000000000000;0;0;0;0;0;0;0;0;0;0
9509;2010;0;0;0.003840170151550;52875.000000000000000;0;0;0;0;0;0;0;0;0;0
9510;2010;0;0;0.003840170151550;52875.000000000000000;0;0;0;0;0;0;0;0;0;0
9511;2010;0;0;0.003856511301130;53100.000000000000000;0;0;0;0;0;0;0;0;0;0
9512;2010;0;0;0.003856511301130;53100.000000000000000;0;0;0;0;0;0;0;0;0;0
9513;2010;0;0;0.003873651351360;53336.000000000000000;0;0;0;0;0;0;0;0;0;0
9514;2010;0;0;0.003840170151550;52875.000000000000000;0;0;0;0;0;0;0;0;0;0
9515;2010;0;0;0.003873651351360;53336.000000000000000;0;0;0;0;0;0;0;0;0;0
9516;2010;0;0;0.003873651351360;53336.000000000000000;0;0;0;0;0;0;0;0;0;0
9517;2010;0;0;0.003873651351360;53336.000000000000000;0;0;0;0;0;0;0;0;0;0
9518;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9519;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9520;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9521;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9522;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9523;2010;0;0;0.003890065128270;53562.000000000000000;0;0;0;0;0;0;0;0;0;0
9524;2010;0;0;0.003890065128270;53562.000000000000000;0;0;0;0;0;0;0;0;0;0
9525;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9526;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9527;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9528;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9529;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9530;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9531;2010;0;0;0.003890065128270;53562.000000000000000;0;0;0;0;0;0;0;0;0;0
9532;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9533;2010;0;0;0.003856511301130;53100.000000000000000;0;0;0;0;0;0;0;0;0;0
9534;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9535;2010;0;0;0.003890065128270;53562.000000000000000;0;0;0;0;0;0;0;0;0;0
9536;2010;0;0;0.003889193600300;53550.000000000000000;0;0;0;0;0;0;0;0;0;0
9537;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9538;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9539;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9540;2010;0;0;0.003890065128270;53562.000000000000000;0;0;0;0;0;0;0;0;0;0
9541;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9542;2010;0;0;0.003856511301130;53100.000000000000000;0;0;0;0;0;0;0;0;0;0
9543;2010;0;0;0.003890065128270;53562.000000000000000;0;0;0;0;0;0;0;0;0;0
9544;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9545;2010;0;0;0.003823829001970;52650.000000000000000;0;0;0;0;0;0;0;0;0;0
9546;2010;0;0;0.003921875899460;54000.000000000000000;0;0;0;0;0;0;0;0;0;0
9549;2010;0;0;0.003905534749880;53775.000000000000000;0;0;0;0;0;0;0;0;0;0
9550;2010;0;0;0.003921875899460;54000.000000000000000;0;0;0;0;0;0;0;0;0;0
9551;2010;0;0;0.003856511301130;53100.000000000000000;0;0;0;0;0;0;0;0;0;0
9552;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9553;2010;0.000039872404978;549.000000000000000;0.002510872103630;34572.000000000000000;0.000053889479952;742.000000000000000;0.000960351204047;13223.000000000000000;0.000216211565790;2977.000000000000000;0.000045682591496;629.000000000000000;0.000045973100821;633.000000000000000
9554;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9555;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9556;2010;0;0;0.003856511301130;53100.000000000000000;0;0;0;0;0;0;0;0;0;0
9557;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9558;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9559;2010;0;0;0.003856511301130;53100.000000000000000;0;0;0;0;0;0;0;0;0;0
9560;2010;0;0;0.003856511301130;53100.000000000000000;0;0;0;0;0;0;0;0;0;0
9561;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9562;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9563;2010;0;0;0.003890065128270;53562.000000000000000;0;0;0;0;0;0;0;0;0;0
9564;2010;0;0;0.003905534749880;53775.000000000000000;0;0;0;0;0;0;0;0;0;0
9565;2010;0;0;0.003905534749880;53775.000000000000000;0;0;0;0;0;0;0;0;0;0
9566;2010;0;0;0.003922892682100;54014.000000000000000;0;0;0;0;0;0;0;0;0;0
9567;2010;0;0;0.003905534749880;53775.000000000000000;0;0;0;0;0;0;0;0;0;0
9568;2010;0;0;0.003889193600300;53550.000000000000000;0;0;0;0;0;0;0;0;0;0
9569;2010;0;0;0.003921875899460;54000.000000000000000;0;0;0;0;0;0;0;0;0;0
9570;2010;0;0;0.003921875899460;54000.000000000000000;0;0;0;0;0;0;0;0;0;0
9571;2010;0.000033263317814;458.000000000000000;0.002283839065450;31446.000000000000000;0.000153969942719;2120.000000000000000;0.000981921521494;13520.000000000000000;0.000366404887273;5045.000000000000000;0.000047280392788;651.000000000000000;0.000022514472756;310.000000000000000
9572;2010;0;0;0.003939306459010;54240.000000000000000;0;0;0;0;0;0;0;0;0;0
9573;2010;0;0;0.003906478905190;53788.000000000000000;0;0;0;0;0;0;0;0;0;0
9574;2010;0;0;0.003889193600300;53550.000000000000000;0;0;0;0;0;0;0;0;0;0
9575;2010;0;0;0.003890065128270;53562.000000000000000;0;0;0;0;0;0;0;0;0;0
9576;2010;0;0;0.003889193600300;53550.000000000000000;0;0;0;0;0;0;0;0;0;0
9577;2010;0;0;0.003890065128270;53562.000000000000000;0;0;0;0;0;0;0;0;0;0
9578;2010;0;0;0.003889193600300;53550.000000000000000;0;0;0;0;0;0;0;0;0;0
9580;2010;0;0;0.000305906320158;4212.000000000000000;0;0;0;0;0;0;0;0;0;0
9919;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9923;2010;0;0;0.003889193600300;53550.000000000000000;0;0;0;0;0;0;0;0;0;0
9925;2010;0;0;0.003872852450710;53325.000000000000000;0;0;0;0;0;0;0;0;0;0
9951;2010;0;0;0.003905534749880;53775.000000000000000;0;0;0;0;0;0;0;0;0;0
9952;2010;0;0;0.003922892682100;54014.000000000000000;0;0;0;0;0;0;0;0;0;0
9953;2010;0;0;0.003922892682100;54014.000000000000000;0;0;0;0;0;0;0;0;0;0
9954;2010;0;0;0.003905534749880;53775.000000000000000;0;0;0;0;0;0;0;0;0;0
9987;2010;0;0;0.001192903919420;16425.000000000000000;0;0;0;0;0;0;0;0;0;0
9990;2010;0;0;0.003856511301130;53100.000000000000000;0;0;0;0;0;0;0;0;0;0
18158;2010;0;0;0.003791146702810;52200.000000000000000;0;0;0;0;0;0;0;0;0;0
18160;2010;0;0;0.003807996243710;52432.000000000000000;0;0;0;0;0;0;0;0;0;0
18164;2010;0;0;0.003807996243710;52432.000000000000000;0;0;0;0;0;0;0;0;0;0
18167;2010;0;0;0.002859701176690;39375.000000000000000;0;0;0;0;0;0;0;0;0;0
18169;2010;0;0;0.003807996243710;52432.000000000000000;0;0;0;0;0;0;0;0;0;0
18521;2010;0;0;0.003807487852390;52425.000000000000000;0;0;0;0;0;0;0;0;0;0
18522;2010;0;0;0.003791146702810;52200.000000000000000;0;0;0;0;0;0;0;0;0;0
18523;2010;0;0;0.003807996243710;52432.000000000000000;0;0;0;0;0;0;0;0;0;0
18525;2010;0;0;0.003807996243710;52432.000000000000000;0;0;0;0;0;0;0;0;0;0
18526;2010;0;0;0.003791146702810;52200.000000000000000;0;0;0;0;0;0;0;0;0;0
18527;2010;0;0;0.003807996243710;52432.000000000000000;0;0;0;0;0;0;0;0;0;0
18528;2010;0;0;0.003807996243710;52432.000000000000000;0;0;0;0;0;0;0;0;0;0
18529;2010;0;0;0.003824410020620;52658.000000000000000;0;0;0;0;0;0;0;0;0;0
18530;2010;0;0;0.003807487852390;52425.000000000000000;0;0;0;0;0;0;0;0;0;0
18531;2010;0;0;0.003824410020620;52658.000000000000000;0;0;0;0;0;0;0;0;0;0
18532;2010;0;0;0.003824410020620;52658.000000000000000;0;0;0;0;0;0;0;0;0;0
18533;2010;0;0;0.003807487852390;52425.000000000000000;0;0;0;0;0;0;0;0;0;0
18534;2010;0;0;0.003807996243710;52432.000000000000000;0;0;0;0;0;0;0;0;0;0
18535;2010;0;0;0.003807487852390;52425.000000000000000;0;0;0;0;0;0;0;0;0;0
18536;2010;0;0;0.003807487852390;52425.000000000000000;0;0;0;0;0;0;0;0;0;0
18537;2010;0;0;0.003807487852390;52425.000000000000000;0;0;0;0;0;0;0;0;0;0
18538;2010;0;0;0.003824410020620;52658.000000000000000;0;0;0;0;0;0;0;0;0;0
18539;2010;0;0;0.000800716329473;11025.000000000000000;0;0;0;0;0;0;0;0;0;0
18540;2010;0;0;0.003791146702810;52200.000000000000000;0;0;0;0;0;0;0;0;0;0
18541;2010;0;0;0.003791146702810;52200.000000000000000;0;0;0;0;0;0;0;0;0;0
18542;2010;0;0;0.003791146702810;52200.000000000000000;0;0;0;0;0;0;0;0;0;0
18543;2010;0;0;0.003824410020620;52658.000000000000000;0;0;0;0;0;0;0;0;0;0
18544;2010;0;0;0.003807996243710;52432.000000000000000;0;0;0;0;0;0;0;0;0;0
18545;2010;0;0;0.003807996243710;52432.000000000000000;0;0;0;0;0;0;0;0;0;0
18546;2010;0;0;0.003791146702810;52200.000000000000000;0;0;0;0;0;0;0;0;0;0
18547;2010;0.000050330740710;693.000000000000000;0.002009816143810;27673.000000000000000;0.000124701128136;1717.000000000000000;0.000648271560714;8926.000000000000000;0.000522481022606;7194.000000000000000;0.000145182035611;1999.000000000000000;0.000290364071223;3998.000000000000000
18548;2010;0;0;0.003807996243710;52432.000000000000000;0;0;0;0;0;0;0;0;0;0
18549;2010;0;0;0.003807996243710;52432.000000000000000;0;0;0;0;0;0;0;0;0;0
18550;2010;0;0;0.003791146702810;52200.000000000000000;0;0;0;0;0;0;0;0;0;0
18551;2010;0;0;0.003807487852390;52425.000000000000000;0;0;0;0;0;0;0;0;0;0
18552;2010;0;0;0.003824410020620;52658.000000000000000;0;0;0;0;0;0;0;0;0;0
18553;2010;0;0;0.003791146702810;52200.000000000000000;0;0;0;0;0;0;0;0;0;0
18554;2010;0;0;0.003824410020620;52658.000000000000000;0;0;0;0;0;0;0;0;0;0
18555;2010;0;0;0.003807996243710;52432.000000000000000;0;0;0;0;0;0;0;0;0;0
18556;2010;0;0;0.003807487852390;52425.000000000000000;0;0;0;0;0;0;0;0;0;0
18557;2010;0;0;0.003791146702810;52200.000000000000000;0;0;0;0;0;0;0;0;0;0
